rank,location,total_violations,hotspot_score,severity,description
780,"Bhadrappa Flyover, Muniyappa Layout, Nagashetty Halli, RMV Stage 2, Bengaluru, Karnataka. Pin-560094 (India)",63,1.54,MEDIUM,High parking violation zone requiring enforcement attention.
781,"7th Main Road, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)",63,1.54,MEDIUM,High parking violation zone requiring enforcement attention.
782,"Bannerghatta Main Road, Sarakki Industrial Layout, JP Nagar Phase 3, Bengaluru, Karnataka. Pin-560078 (India)",63,1.54,MEDIUM,High parking violation zone requiring enforcement attention.
783,"Hosur Road, Sattva Texonic, Bommasandra Industrial Area, Bommasandra, Bengaluru, Karnataka. Pin-560099 (India)",63,1.54,MEDIUM,High parking violation zone requiring enforcement attention.
784,"South Avenue, SM Layout, Dooravani Nagar, Bengaluru, Karnataka. Pin-560016 (India)",62,1.52,MEDIUM,High parking violation zone requiring enforcement attention.
785,"East End A Main Road, Dr BR Ambedkar Circle, Jayanagar, Bengaluru, Karnataka. Pin-560069 (India)",62,1.52,MEDIUM,High parking violation zone requiring enforcement attention.
786,"Chord Road, Ganga Government Quarters, MRCR Layout, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)",62,1.52,MEDIUM,High parking violation zone requiring enforcement attention.
787,"9th Main Road, Block 5, Jayanagar, Bengaluru, Karnataka. Pin-560041 (India)",62,1.52,MEDIUM,High parking violation zone requiring enforcement attention.
788,"Sarjapura Main Road, Salarpuria Sanctity, Kaikondrahalli, Bengaluru, Karnataka. Pin-560035 (India)",62,1.52,MEDIUM,High parking violation zone requiring enforcement attention.
789,"Kondajji Basappa Road, Basappa Circle, VV Puram, Bengaluru, Karnataka. Pin-560004 (India)",62,1.52,MEDIUM,High parking violation zone requiring enforcement attention.
790,"SH 104, Niranthara Layout, Dwarka Nagar, Kattigenahalli, Bengaluru, Karnataka. Pin-560063 (India)",62,1.52,MEDIUM,High parking violation zone requiring enforcement attention.
791,"Sri Sankasta Hara Ganapati Temple Road, Remco Housing Cooperative Society, RPC Layout, Vijaya Nagar Stage 2, Bengaluru, Karnataka. Pin-560104 (India)",62,1.52,MEDIUM,High parking violation zone requiring enforcement attention.
792,"Hosur Road, Channakeshava Nagar, Singasandra, Bengaluru, Karnataka. Pin-560100 (India)",62,1.52,MEDIUM,High parking violation zone requiring enforcement attention.
793,"Devasandra Main Road, Nanjamma Layout, KR Puram, Bengaluru, Karnataka. Pin-560036 (India)",61,1.49,MEDIUM,High parking violation zone requiring enforcement attention.
794,"Dr MH Ambarish Road, R Subanna Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560001 (India)",61,1.49,MEDIUM,High parking violation zone requiring enforcement attention.
795,"8th Cross Road, Parisara Organic Junction, Malleshwaram, Bengaluru, Karnataka. Pin-560003 (India)",61,1.49,MEDIUM,High parking violation zone requiring enforcement attention.
796,"SJP Road, Dharmaraya Swamy Temple Ward, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560002, India",61,1.49,MEDIUM,High parking violation zone requiring enforcement attention.
797,"Raja Ram Mohan Roy Road, Sampangiram Nagar, Bengaluru, Karnataka. Pin-560027 (India)",61,1.49,MEDIUM,High parking violation zone requiring enforcement attention.
798,"Model Road, Kumbaragundi, Kalasipalyam, Bengaluru, Karnataka. Pin-560002 (India)",60,1.47,MEDIUM,High parking violation zone requiring enforcement attention.
799,"20th Main Road, KR Garden, Block 8, Koramangala, Bengaluru, Karnataka. Pin-560095 (India)",60,1.47,MEDIUM,High parking violation zone requiring enforcement attention.
800,"1st Cross Road, RK Puram, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",60,1.47,MEDIUM,High parking violation zone requiring enforcement attention.
801,"G Narayana Kumar Road, Gopalapuram, Magadi Road Area, Bengaluru, Karnataka. Pin-560023 (India)",60,1.47,MEDIUM,High parking violation zone requiring enforcement attention.
802,"Hospital Road, Prestige Central, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",60,1.47,MEDIUM,High parking violation zone requiring enforcement attention.
803,"Padmabhushan Dr MC Modi Road, Shankarmata Circle, Basaveshwara Nagar, Bengaluru, Karnataka. Pin-560086 (India)",60,1.47,MEDIUM,High parking violation zone requiring enforcement attention.
804,"4th Cross Road, Kaverappa Industrial Area, NS Palya, BTM Layout Stage 2, Bengaluru, Karnataka. Pin-560076 (India)",60,1.47,MEDIUM,High parking violation zone requiring enforcement attention.
805,"Whitefield Road, Indian Oil Campus, Mahadevapura, Bengaluru, Karnataka. Pin-560016 (India)",60,1.47,MEDIUM,High parking violation zone requiring enforcement attention.
806,"Subramanyapura Main Road, VVR Supreme Residency, Chikkalsandra, Bengaluru, Karnataka. Pin-560061 (India)",60,1.47,MEDIUM,High parking violation zone requiring enforcement attention.
807,"1st Cross Road, Subhams Antique City, Konadasapura, Bengaluru, Karnataka. Pin-560049 (India)",60,1.47,MEDIUM,High parking violation zone requiring enforcement attention.
808,"Sri ML Subbaraju Road, Mahatma Gandhi Circle, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",60,1.47,MEDIUM,High parking violation zone requiring enforcement attention.
809,"Palace Road, Jakkarayana Kere, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",60,1.47,MEDIUM,High parking violation zone requiring enforcement attention.
810,"WOC Road, Block 1R, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",60,1.47,MEDIUM,High parking violation zone requiring enforcement attention.
811,"80 Feet Road, Ashwath Nagar, Armane Nagar, Bengaluru, Karnataka. Pin-560094 (India)",60,1.47,MEDIUM,High parking violation zone requiring enforcement attention.
812,"1st Cross Road, Kumar Park, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)",60,1.47,MEDIUM,High parking violation zone requiring enforcement attention.
813,"Mysore Road, Bengaluru Body Builders Junction, New Timber Yard Layout, Bengaluru, Karnataka. Pin-560026 (India)",60,1.47,MEDIUM,High parking violation zone requiring enforcement attention.
814,"Mumbai Bengaluru Highway, Jalahalli Cross Junction, Peenya, Bengaluru, Karnataka. Pin-560058 (India)",59,1.44,MEDIUM,High parking violation zone requiring enforcement attention.
815,"MBT Road, BSNL CACT Building, Dooravani Nagar, Bengaluru, Karnataka. Pin-560016 (India)",59,1.44,MEDIUM,High parking violation zone requiring enforcement attention.
816,"1st Main Road, Lumos, Industrial Suburb, Yeshwanthpur, Bengaluru, Karnataka. Pin-560022 (India)",59,1.44,MEDIUM,High parking violation zone requiring enforcement attention.
817,"Bellary Road, Dena Bank Colony, Ganga Nagar, Bengaluru, Karnataka. Pin-560032 (India)",59,1.44,MEDIUM,High parking violation zone requiring enforcement attention.
818,"Amrita College Road, Bhuvi Colony, Kasavanahalli, Bengaluru, Karnataka. Pin-560035 (India)",59,1.44,MEDIUM,High parking violation zone requiring enforcement attention.
819,"Lingarajapuram Flyover, Old Bagalur Layout, Lingarajapuram, Bengaluru, Karnataka. Pin-560084 (India)",59,1.44,MEDIUM,High parking violation zone requiring enforcement attention.
820,"G Narayana Kumar Road, Purva Sunflower, Shankarappa Garden, Magadi Road Area, Bengaluru, Karnataka. Pin-560023 (India)",59,1.44,MEDIUM,High parking violation zone requiring enforcement attention.
821,"Doddakannelli Road, Sandeep Square, Bhoganahalli, Bengaluru, Karnataka. Pin-560103 (India)",59,1.44,MEDIUM,High parking violation zone requiring enforcement attention.
822,"Seppings Road, Nehru Puram, Shivaji Nagar, Bengaluru, Karnataka. Pin-560051 (India)",59,1.44,MEDIUM,High parking violation zone requiring enforcement attention.
823,"Mumbai Bengaluru Highway, Hesaragatta Cross Junction, T Dasarahalli, Bengaluru, Karnataka. Pin-560057 (India)",59,1.44,MEDIUM,High parking violation zone requiring enforcement attention.
824,"Sri B Gangaiah Road, Star Circle, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",59,1.44,MEDIUM,High parking violation zone requiring enforcement attention.
825,"South Central Road, Sirur Park Junction, Seshadripuram, Bengaluru, Karnataka. Pin-560020 (India)",59,1.44,MEDIUM,High parking violation zone requiring enforcement attention.
826,"Outer Ring Road, Salarpuria Sattva Supreme, Marathahalli Village, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",59,1.44,MEDIUM,High parking violation zone requiring enforcement attention.
827,"Sri Dharmaraya Swamy Temple Main Road, Shoukath Mohalla, Nagartapete, Bengaluru, Karnataka. Pin-560002 (India)",59,1.44,MEDIUM,High parking violation zone requiring enforcement attention.
828,"Venkataswamy Naidu Road, Balappa Garden, Shivaji Nagar, Bengaluru, Karnataka. Pin-560051 (India)",59,1.44,MEDIUM,High parking violation zone requiring enforcement attention.
829,"Magadi Main Road, Sunkadakatte, Bengaluru, Karnataka. Pin-560091 (India)",58,1.42,MEDIUM,High parking violation zone requiring enforcement attention.
830,"20th Main Road, Dhobi Ghat Junction, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",58,1.42,MEDIUM,High parking violation zone requiring enforcement attention.
831,"Kadidal Manjappa Road, Nanjappa Circle, Richmond Town, Bengaluru, Karnataka. Pin-560025 (India)",58,1.42,MEDIUM,High parking violation zone requiring enforcement attention.
832,"Brunton Road, Mittal Towers, Yellappa Chetty Layout, Sivanchetti Gardens, Bengaluru, Karnataka. Pin-560042 (India)",58,1.42,MEDIUM,High parking violation zone requiring enforcement attention.
833,"80 Feet Road, Papajan Garden, KHB Colony Stage 2, Basaveshwara Nagar, Bengaluru, Karnataka. Pin-560079 (India)",58,1.42,MEDIUM,High parking violation zone requiring enforcement attention.
834,"Sha Shi Marulayya Road, Police Quarters, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)",58,1.42,MEDIUM,High parking violation zone requiring enforcement attention.
835,"Narasimha Raj Wadiyar Road, Gollarpet, Nagartapete, Bengaluru, Karnataka. Pin-560002 (India)",58,1.42,MEDIUM,High parking violation zone requiring enforcement attention.
836,"Subedar Chatram Road, Shree MG Seshadri Circle, Seshadripuram, Bengaluru, Karnataka. Pin-560020 (India)",58,1.42,MEDIUM,High parking violation zone requiring enforcement attention.
837,"Railway Samantara Road, Fortune Acacia, Byatarayanapura, Bengaluru, Karnataka. Pin-560092 (India)",58,1.42,MEDIUM,High parking violation zone requiring enforcement attention.
838,"RT Nagar Main Road, KHM Block, Ganga Nagar, Bengaluru, Karnataka. Pin-560032 (India)",58,1.42,MEDIUM,High parking violation zone requiring enforcement attention.
839,"ITPL Main Road, RMZ Centennial, Industrial Area Phase 1, Doddanekundi, Bengaluru, Karnataka. Pin-560066 (India)",58,1.42,MEDIUM,High parking violation zone requiring enforcement attention.
840,"7th Cross Road, RR Palace, Malleshwaram, Bengaluru, Karnataka. Pin-560003 (India)",58,1.42,MEDIUM,High parking violation zone requiring enforcement attention.
841,"4th Main Road, Malleshwara Extension, Malleshwaram West, Bengaluru, Karnataka. Pin-560055 (India)",58,1.42,MEDIUM,High parking violation zone requiring enforcement attention.
842,"27th Cross Road, Ramachandra Reddy Layout, Mangammanapalya, Bommanahalli, Bengaluru, Karnataka. Pin-560068 (India)",57,1.39,MEDIUM,High parking violation zone requiring enforcement attention.
843,"Hosur Road, Metro Urbano, Muni Reddy Layout, Garvebhavi Palya, Bengaluru, Karnataka. Pin-560068 (India)",57,1.39,MEDIUM,High parking violation zone requiring enforcement attention.
844,"Outer Ring Road, Sri Manjunatha Layout, Munnekolala, Bengaluru, Karnataka. Pin-560037 (India)",57,1.39,MEDIUM,High parking violation zone requiring enforcement attention.
845,"Hosur Road, Zed Enclave, HAL Layout, Bengaluru, Karnataka. Pin-560068 (India)",57,1.39,MEDIUM,High parking violation zone requiring enforcement attention.
846,"21st Main Road, Ganga Government Quarters, MRCR Layout, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)",57,1.39,MEDIUM,High parking violation zone requiring enforcement attention.
847,"1st Main Road, Ramanjaneya Layout, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",57,1.39,MEDIUM,High parking violation zone requiring enforcement attention.
848,"Konadasapura Cross Road, Subhams Antique City, Konadasapura, Bengaluru, Karnataka. Pin-560049 (India)",57,1.39,MEDIUM,High parking violation zone requiring enforcement attention.
849,"Kalidasa Road, Gandhinagar, Nehru Nagar, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560009, India",57,1.39,MEDIUM,High parking violation zone requiring enforcement attention.
850,"Outer Ring Road, Karthik Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",57,1.39,MEDIUM,High parking violation zone requiring enforcement attention.
851,"Bellary Road, Kodigehalli Gate Junction, Byatarayanapura, Bengaluru, Karnataka. Pin-560092 (India)",57,1.39,MEDIUM,High parking violation zone requiring enforcement attention.
852,"Bellary Road, CBI Quarters, KGH Layout, Ganga Nagar, Bengaluru, Karnataka. Pin-560032 (India)",57,1.39,MEDIUM,High parking violation zone requiring enforcement attention.
853,"Srinivagilu Main Road, Block 1, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",56,1.37,MEDIUM,High parking violation zone requiring enforcement attention.
854,"1st Main Road, Mallige Thotta, Cholurpalya, Bengaluru, Karnataka. Pin-560023 (India)",56,1.37,MEDIUM,High parking violation zone requiring enforcement attention.
855,"Hosur Road, Robert Bosch, Block 7, Koramangala, Bengaluru, Karnataka. Pin-560095 (India)",56,1.37,MEDIUM,High parking violation zone requiring enforcement attention.
856,"Hosur Road, Bommanahalli Circle, Bommanahalli, Bengaluru, Karnataka. Pin-560068 (India)",56,1.37,MEDIUM,High parking violation zone requiring enforcement attention.
857,"Dental College Road, Sri Krishna Rajendra Market, Chickpete, Bengaluru, Karnataka. Pin-560002 (India)",56,1.37,MEDIUM,High parking violation zone requiring enforcement attention.
858,"VVI Road, Mothinagar, Kalasipalyam, Bengaluru, Karnataka. Pin-560002 (India)",56,1.37,MEDIUM,High parking violation zone requiring enforcement attention.
859,"2nd Cross Road, Annapurneshwari Industrial Area, Magadi Road Area, Bengaluru, Karnataka. Pin-560023 (India)",56,1.37,MEDIUM,High parking violation zone requiring enforcement attention.
860,"Laggere Service Road, Narasimhaswamy Layout, Laggere, Bengaluru, Karnataka. Pin-560058 (India)",56,1.37,MEDIUM,High parking violation zone requiring enforcement attention.
861,"Hospital Road, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",56,1.37,MEDIUM,High parking violation zone requiring enforcement attention.
862,"Bellary Road, Raitarasanthe, Nehru Nagar, Bengaluru, Karnataka. Pin-560064 (India)",56,1.37,MEDIUM,High parking violation zone requiring enforcement attention.
863,"Bhashyam Road, Akkimakalamna Gudi, Cottonpete, Bengaluru, Karnataka. Pin-560053 (India)",56,1.37,MEDIUM,High parking violation zone requiring enforcement attention.
864,"Kumar Krupa Road, Dr Hardikar Circle, Seshadripuram, Bengaluru, Karnataka. Pin-560001 (India)",56,1.37,MEDIUM,High parking violation zone requiring enforcement attention.
865,"MR Lane, Dodpete, Nagartapete, Bengaluru, Karnataka. Pin-560002 (India)",56,1.37,MEDIUM,High parking violation zone requiring enforcement attention.
866,"Hosahalli Main Road, JJR Nagar Circle, JJR Nagar North, Bengaluru, Karnataka. Pin-560018 (India)",55,1.34,MEDIUM,High parking violation zone requiring enforcement attention.
867,"40th Cross Road, Block 5, Jayanagar, Bengaluru, Karnataka. Pin-560041 (India)",55,1.34,MEDIUM,High parking violation zone requiring enforcement attention.
868,"9th Cross Road, Malleshwaram, Bengaluru, Karnataka. Pin-560003 (India)",55,1.34,MEDIUM,High parking violation zone requiring enforcement attention.
869,"Bellary Road, IAH and VB Quarters, UAS Campus, Hebbal, Bengaluru, Karnataka. Pin-560024 (India)",55,1.34,MEDIUM,High parking violation zone requiring enforcement attention.
870,"Meenakshi Koil Street, Chandni Chowk, Bengaluru, Karnataka. Pin-560051 (India)",55,1.34,MEDIUM,High parking violation zone requiring enforcement attention.
871,"Police Road, Sultanpete, Bengaluru, Karnataka. Pin-560053 (India)",55,1.34,MEDIUM,High parking violation zone requiring enforcement attention.
872,"4th Main Road, Ramana Joythi Apartment, Yeshwanthpur Suburb Stage 2, Yeshwanthpur, Bengaluru, Karnataka. Pin-560022 (India)",55,1.34,MEDIUM,High parking violation zone requiring enforcement attention.
873,"5th Main Road, Shri Satya Sai Circle, Jayanagar, Bengaluru, Karnataka. Pin-560041 (India)",55,1.34,MEDIUM,High parking violation zone requiring enforcement attention.
874,"Vatal Nagaraj Road, Bhashyam Circle, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",54,1.32,MEDIUM,High parking violation zone requiring enforcement attention.
875,"Infantry Cross Road, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",54,1.32,MEDIUM,High parking violation zone requiring enforcement attention.
876,"Domlur Inner Ring Road, Madiwala Junction, Madivala, Bengaluru, Karnataka. Pin-560068 (India)",54,1.32,MEDIUM,High parking violation zone requiring enforcement attention.
877,"Hosur Road, Sri Chamundi Towers, Krishna Reddy Industrial Area, Garvebhavi Palya, Bengaluru, Karnataka. Pin-560068 (India)",54,1.32,MEDIUM,High parking violation zone requiring enforcement attention.
878,"9th Cross Road, SNN Raj Spiritua, Umarbagh Layout, Banashankari Stage 2, Bengaluru, Karnataka. Pin-560078 (India)",54,1.32,MEDIUM,High parking violation zone requiring enforcement attention.
879,"80 Feet Ring Road, Prasanna Theatre Circle, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",54,1.32,MEDIUM,High parking violation zone requiring enforcement attention.
880,"Rest House Crescent Road, KP New Extension, Shanthala Nagar, Bengaluru, Karnataka. Pin-560001 (India)",54,1.32,MEDIUM,High parking violation zone requiring enforcement attention.
881,"Mosque Road, Frazer Town, Bengaluru, Karnataka. Pin-560005 (India)",54,1.32,MEDIUM,High parking violation zone requiring enforcement attention.
882,"20th Main Road, Block F, Sahakara Nagar, Bengaluru, Karnataka. Pin-560092 (India)",54,1.32,MEDIUM,High parking violation zone requiring enforcement attention.
883,"Sri Venkataranga Ayangar Road, Krishna Apartment, Kadumalleshwara, Malleshwaram, Bengaluru, Karnataka. Pin-560003 (India)",54,1.32,MEDIUM,High parking violation zone requiring enforcement attention.
884,"20th Main Road, Ganga Government Quarters, MC Layout, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)",54,1.32,MEDIUM,High parking violation zone requiring enforcement attention.
885,"MN Krishnarao Road, Doddanekundi, Bengaluru, Karnataka. Pin-560037 (India)",53,1.3,MEDIUM,High parking violation zone requiring enforcement attention.
886,"Promenade Road, Sarvanton Circle, Frazer Town, Bengaluru, Karnataka. Pin-560005 (India)",53,1.3,MEDIUM,High parking violation zone requiring enforcement attention.
887,"Sri Venkataranga Ayangar Road, Kodandarampura, Malleshwaram, Bengaluru, Karnataka. Pin-560003 (India)",53,1.3,MEDIUM,High parking violation zone requiring enforcement attention.
888,"Binny Mill Main Road, Railway Quarters, Subhash Nagar, Sevashrama, Bengaluru, Karnataka. Pin-560023 (India)",53,1.3,MEDIUM,High parking violation zone requiring enforcement attention.
889,"Sarjapura Main Road, Sri Venkateshwara Circle, Haralur, Bengaluru, Karnataka. Pin-560035 (India)",53,1.3,MEDIUM,High parking violation zone requiring enforcement attention.
890,"Outer Ring Road, Prestige Signature Tower, Yemlur, Bengaluru, Karnataka. Pin-560103 (India)",53,1.3,MEDIUM,High parking violation zone requiring enforcement attention.
891,"9th Cross Road, Mayura Circle, JP Nagar Phase 1, Bengaluru, Karnataka. Pin-560078 (India)",53,1.3,MEDIUM,High parking violation zone requiring enforcement attention.
892,"Munninarasimha Road, Prisha Orchids, Chokkanahalli, Bengaluru, Karnataka. Pin-560064 (India)",53,1.3,MEDIUM,High parking violation zone requiring enforcement attention.
893,"MBT Road, Subhams Antique City, Konadasapura, Bengaluru, Karnataka. Pin-560049 (India)",53,1.3,MEDIUM,High parking violation zone requiring enforcement attention.
894,"District Office Road, Cubbonpet, Nagartapete, Bengaluru, Karnataka. Pin-560002 (India)",53,1.3,MEDIUM,High parking violation zone requiring enforcement attention.
895,"OTC Road, RK Puram, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",53,1.3,MEDIUM,High parking violation zone requiring enforcement attention.
896,"20th A Main Road, Block 1R, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",53,1.3,MEDIUM,High parking violation zone requiring enforcement attention.
897,"Mission Road, M Subbaiah Circle, Sampangiram Nagar, Bengaluru, Karnataka. Pin-560027 (India)",53,1.3,MEDIUM,High parking violation zone requiring enforcement attention.
898,"Hosur Road, Gangotri SLV Meadows, Krishna Reddy Industrial Area, Garvebhavi Palya, Bengaluru, Karnataka. Pin-560068 (India)",52,1.27,MEDIUM,High parking violation zone requiring enforcement attention.
899,"5th Main Road, RV Layout, Seshadripuram, Bengaluru, Karnataka. Pin-560020 (India)",52,1.27,MEDIUM,High parking violation zone requiring enforcement attention.
900,"Brigade Road, Brigade Road Junction, Ashok Nagar, Bengaluru, Karnataka. Pin-560025 (India)",52,1.27,MEDIUM,High parking violation zone requiring enforcement attention.
901,"14th Main Road, Sector 5, HSR Layout, Bengaluru, Karnataka. Pin-560102 (India)",52,1.27,MEDIUM,High parking violation zone requiring enforcement attention.
902,"Soniya Gandhi Road, Gangamma Circle, Ramchandrapura, Bengaluru, Karnataka. Pin-560013 (India)",52,1.27,MEDIUM,High parking violation zone requiring enforcement attention.
903,"Sarjapura Main Road, Nimritha Kethana Eternal Accolade, Janatha Colony, Doddakannelli, Bengaluru, Karnataka. Pin-560035 (India)",52,1.27,MEDIUM,High parking violation zone requiring enforcement attention.
904,"9th Main Road, Geeta Circle, Jayanagar, Bengaluru, Karnataka. Pin-560011 (India)",52,1.27,MEDIUM,High parking violation zone requiring enforcement attention.
905,"7th Main Road, Veerannana Guda, Veerabhadra Nagar, Banashankari Stage 3, Bengaluru, Karnataka. Pin-560085 (India)",52,1.27,MEDIUM,High parking violation zone requiring enforcement attention.
906,"Siddhapura Road, B Venkata Reddy Nagar, Siddapura, Jayanagar East, Bengaluru, Karnataka. Pin-560011 (India)",52,1.27,MEDIUM,High parking violation zone requiring enforcement attention.
907,"Infantry Road, Prestige Saleh Ahmed, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",52,1.27,MEDIUM,High parking violation zone requiring enforcement attention.
908,"Pipe Line Road, Manuvana, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)",52,1.27,MEDIUM,High parking violation zone requiring enforcement attention.
909,"2nd Main Road, Income Tax and Central Excise Staff Quarters, Jayamahal Extension, Bengaluru, Karnataka. Pin-560046 (India)",52,1.27,MEDIUM,High parking violation zone requiring enforcement attention.
910,"Subramanyapura Main Road, Vallabha Nagar, Uttarahalli, Bengaluru, Karnataka. Pin-560061 (India)",52,1.27,MEDIUM,High parking violation zone requiring enforcement attention.
911,"Kempegowda Road, Elite Junction, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",52,1.27,MEDIUM,High parking violation zone requiring enforcement attention.
912,"Subedar Chatram Road, Shri Rajiv Gandhi Circle, Seshadripuram, Bengaluru, Karnataka. Pin-560020 (India)",52,1.27,MEDIUM,High parking violation zone requiring enforcement attention.
913,"12th Main Road, Indiranagar ESI Hospital Junction, Indiranagar, Bengaluru, Karnataka. Pin-560038 (India)",52,1.27,MEDIUM,High parking violation zone requiring enforcement attention.
914,"Mumbai Bengaluru Highway, Sri Vijayamaruthi Circle, Yeshwanthpur, Bengaluru, Karnataka. Pin-560022 (India)",51,1.25,MEDIUM,High parking violation zone requiring enforcement attention.
915,"Dr Vishwesha Teertha Swamy Gala Road, Block 6, Banashankari Stage 3, Bengaluru, Karnataka. Pin-560085 (India)",51,1.25,MEDIUM,High parking violation zone requiring enforcement attention.
916,"Kengeri Main Road, Papareddypalya Circle, Nagarbhavi Stage 2, Bengaluru, Karnataka. Pin-560072 (India)",51,1.25,MEDIUM,High parking violation zone requiring enforcement attention.
917,"Commissariat Road, Garuda Mall, Ashok Nagar, Bengaluru, Karnataka. Pin-560025 (India)",51,1.25,MEDIUM,High parking violation zone requiring enforcement attention.
918,"Doddagubbi Road, Chikka Aneppa Layout, Narayanpura, Kothnur Narayanapura, Bengaluru, Karnataka. Pin-560077 (India)",51,1.25,MEDIUM,High parking violation zone requiring enforcement attention.
919,"15th Cross Road, Block D, Sahakara Nagar, Bengaluru, Karnataka. Pin-560092 (India)",51,1.25,MEDIUM,High parking violation zone requiring enforcement attention.
920,"Sri B Gangaiah Road, Birangi Palya, Shiva Nagar, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",51,1.25,MEDIUM,High parking violation zone requiring enforcement attention.
921,"Cubbon Road, Shivaji Nagar Intersection Junction, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",51,1.25,MEDIUM,High parking violation zone requiring enforcement attention.
922,"NH 275, Shoukath Mohalla, Nagartapete, Bengaluru, Karnataka. Pin-560002 (India)",51,1.25,MEDIUM,High parking violation zone requiring enforcement attention.
923,"Basava Mantapa Road, Star Circle, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",51,1.25,MEDIUM,High parking violation zone requiring enforcement attention.
924,"Siddavanahalli Krishna Sharma Road, Kadumalleshwara, Malleshwaram, Bengaluru, Karnataka. Pin-560003 (India)",50,1.22,MEDIUM,High parking violation zone requiring enforcement attention.
925,"Kondajji Basappa Road, Minerva Circle, Mavalli, Bengaluru, Karnataka. Pin-560004 (India)",50,1.22,MEDIUM,High parking violation zone requiring enforcement attention.
926,"A Street, Chandni Chowk, Bengaluru, Karnataka. Pin-560051 (India)",50,1.22,MEDIUM,High parking violation zone requiring enforcement attention.
927,"Albert Victor Road, Sirsi Circle, Chamarajpet, Bengaluru, Karnataka. Pin-560018 (India)",50,1.22,MEDIUM,High parking violation zone requiring enforcement attention.
928,"8th Main Road, Basaveshwara Nagar, Bengaluru, Karnataka. Pin-560079 (India)",50,1.22,MEDIUM,High parking violation zone requiring enforcement attention.
929,"Dr Rajkumar Puniya Bhoomi Road, Narasimhaswamy Layout, Laggere, Bengaluru, Karnataka. Pin-560058 (India)",50,1.22,MEDIUM,High parking violation zone requiring enforcement attention.
930,"Loop Road, Anand Rao Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",50,1.22,MEDIUM,High parking violation zone requiring enforcement attention.
931,"Haralur Road, Birla Circle, Haralur, Bengaluru, Karnataka. Pin-560035 (India)",50,1.22,MEDIUM,High parking violation zone requiring enforcement attention.
932,"Hosur Road, Columbia Aaltius, Electronic City, Bengaluru, Karnataka. Pin-560100 (India)",49,1.2,MEDIUM,High parking violation zone requiring enforcement attention.
933,"46th Cross Road, Sangam Circle, Jayanagar, Bengaluru, Karnataka. Pin-560070 (India)",49,1.2,MEDIUM,High parking violation zone requiring enforcement attention.
934,"Mumbai Bengaluru Highway, Bynapalya, Madanaiyakanahalli, Bengaluru, Karnataka. Pin-562162 (India)",49,1.2,MEDIUM,High parking violation zone requiring enforcement attention.
935,"Outer Ring Road, Dargah Mohalla, Mahadevapura, Bengaluru, Karnataka. Pin-560016 (India)",49,1.2,MEDIUM,High parking violation zone requiring enforcement attention.
936,"Mariamma Lane, Sri Nagamma Devi Circle, Sivanchetti Gardens, Bengaluru, Karnataka. Pin-560042 (India)",49,1.2,MEDIUM,High parking violation zone requiring enforcement attention.
937,"80 Feet Ring Road, Udayam Nagar, Ramachandrapuram, Bengaluru, Karnataka. Pin-560021 (India)",49,1.2,MEDIUM,High parking violation zone requiring enforcement attention.
938,"1st Main Road, Block 7, Koramangala, Bengaluru, Karnataka. Pin-560095 (India)",49,1.2,MEDIUM,High parking violation zone requiring enforcement attention.
